Date,SOI,PDO,AO,Year,Month,Day,Hour,PC1,PC2,PC1_2_Amp
1866-01-01,-0.62,,,1866,1,1,,,,
1866-02-01,-0.12,,,1866,2,1,,,,
1866-03-01,-0.62,,,1866,3,1,,,,
1866-04-01,-0.65,,,1866,4,1,,,,
1866-05-01,0.04,,,1866,5,1,,,,
1866-06-01,-0.82,,,1866,6,1,,,,
1866-07-01,-0.34,,,1866,7,1,,,,
1866-08-01,0.36,,,1866,8,1,,,,
1866-09-01,-0.18,,,1866,9,1,,,,
1866-10-01,0.07,,,1866,10,1,,,,
1866-11-01,1.1,,,1866,11,1,,,,
1866-12-01,-0.16,,,1866,12,1,,,,
1867-01-01,0.09,,,1867,1,1,,,,
1867-02-01,-0.01,,,1867,2,1,,,,
1867-03-01,-0.09,,,1867,3,1,,,,
1867-04-01,0.83,,,1867,4,1,,,,
1867-05-01,0.5,,,1867,5,1,,,,
1867-06-01,-0.48,,,1867,6,1,,,,
1867-07-01,0.44,,,1867,7,1,,,,
1867-08-01,0.34,,,1867,8,1,,,,
1867-09-01,0.12,,,1867,9,1,,,,
1867-10-01,-0.56,,,1867,10,1,,,,
1867-11-01,-0.65,,,1867,11,1,,,,
1867-12-01,-0.89,,,1867,12,1,,,,
1868-01-01,-0.16,,,1868,1,1,,,,
1868-02-01,-0.34,,,1868,2,1,,,,
1868-03-01,-1.56,,,1868,3,1,,,,
1868-04-01,0.3,,,1868,4,1,,,,
1868-05-01,-1.34,,,1868,5,1,,,,
1868-06-01,-2.2,,,1868,6,1,,,,
1868-07-01,-0.4,,,1868,7,1,,,,
1868-08-01,-1.41,,,1868,8,1,,,,
1868-09-01,-1.23,,,1868,9,1,,,,
1868-10-01,-1.24,,,1868,10,1,,,,
1868-11-01,-1.49,,,1868,11,1,,,,
1868-12-01,0.52,,,1868,12,1,,,,
1869-01-01,-1.9,,,1869,1,1,,,,
1869-02-01,-0.26,,,1869,2,1,,,,
1869-03-01,-0.59,,,1869,3,1,,,,
1869-04-01,2.12,,,1869,4,1,,,,
1869-05-01,1.4,,,1869,5,1,,,,
1869-06-01,1.53,,,1869,6,1,,,,
1869-07-01,1.42,,,1869,7,1,,,,
1869-08-01,0.94,,,1869,8,1,,,,
1869-09-01,0.12,,,1869,9,1,,,,
1869-10-01,0.85,,,1869,10,1,,,,
1869-11-01,0.56,,,1869,11,1,,,,
1869-12-01,0.42,,,1869,12,1,,,,
1870-01-01,1.06,0.085,,1870,1,1,,,,
1870-02-01,0.18,0.017,,1870,2,1,,,,
1870-03-01,-0.75,-0.068,,1870,3,1,,,,
1870-04-01,0.47,-0.593,,1870,4,1,,,,
1870-05-01,-0.11,-0.587,,1870,5,1,,,,
1870-06-01,-1.1,-0.75,,1870,6,1,,,,
1870-07-01,0.17,-0.423,,1870,7,1,,,,
1870-08-01,0.98,0.151,,1870,8,1,,,,
1870-09-01,-0.0,0.15,,1870,9,1,,,,
1870-10-01,-0.58,-0.439,,1870,10,1,,,,
1870-11-01,-0.86,-0.668,,1870,11,1,,,,
1870-12-01,-1.29,-0.72,,1870,12,1,,,,
1871-01-01,-1.13,-0.192,,1871,1,1,,,,
1871-02-01,-0.13,-0.267,,1871,2,1,,,,
1871-03-01,-2.0,0.065,,1871,3,1,,,,
1871-04-01,-0.46,-0.485,,1871,4,1,,,,
1871-05-01,-0.47,-0.832,,1871,5,1,,,,
1871-06-01,0.24,-0.91,,1871,6,1,,,,
1871-07-01,0.31,-0.711,,1871,7,1,,,,
1871-08-01,0.38,-0.424,,1871,8,1,,,,
1871-09-01,0.58,-0.577,,1871,9,1,,,,
1871-10-01,-0.14,-0.254,,1871,10,1,,,,
1871-11-01,-0.02,-0.278,,1871,11,1,,,,
1871-12-01,0.97,-0.218,,1871,12,1,,,,
1872-01-01,2.69,-0.522,,1872,1,1,,,,
1872-02-01,1.12,-0.634,,1872,2,1,,,,
1872-03-01,1.69,-0.351,,1872,3,1,,,,
1872-04-01,-0.54,-0.519,,1872,4,1,,,,
1872-05-01,1.35,-0.215,,1872,5,1,,,,
1872-06-01,2.45,-0.689,,1872,6,1,,,,
1872-07-01,2.3,-0.544,,1872,7,1,,,,
1872-08-01,0.99,-0.716,,1872,8,1,,,,
1872-09-01,3.14,-0.582,,1872,9,1,,,,
1872-10-01,1.9,-0.472,,1872,10,1,,,,
1872-11-01,3.09,-0.973,,1872,11,1,,,,
1872-12-01,2.8,-1.221,,1872,12,1,,,,
1873-01-01,2.47,-1.198,,1873,1,1,,,,
1873-02-01,1.12,-1.374,,1873,2,1,,,,
1873-03-01,1.63,-1.242,,1873,3,1,,,,
1873-04-01,2.29,-0.494,,1873,4,1,,,,
1873-05-01,1.19,-0.178,,1873,5,1,,,,
1873-06-01,-3.09,-0.445,,1873,6,1,,,,
1873-07-01,-1.14,-0.476,,1873,7,1,,,,
1873-08-01,-0.59,-0.652,,1873,8,1,,,,
1873-09-01,-2.13,-0.549,,1873,9,1,,,,
1873-10-01,-1.78,-0.568,,1873,10,1,,,,
1873-11-01,-0.36,-0.887,,1873,11,1,,,,
1873-12-01,1.33,-0.961,,1873,12,1,,,,
1874-01-01,0.9,-0.738,,1874,1,1,,,,
1874-02-01,-0.28,-0.918,,1874,2,1,,,,
1874-03-01,-0.52,-0.711,,1874,3,1,,,,
1874-04-01,0.98,-0.253,,1874,4,1,,,,
1874-05-01,1.29,-0.301,,1874,5,1,,,,
1874-06-01,-1.92,-0.553,,1874,6,1,,,,
1874-07-01,-0.14,-0.377,,1874,7,1,,,,
1874-08-01,0.75,-0.247,,1874,8,1,,,,
1874-09-01,2.03,-0.539,,1874,9,1,,,,
1874-10-01,2.19,-0.626,,1874,10,1,,,,
1874-11-01,0.53,-0.518,,1874,11,1,,,,
1874-12-01,1.28,-0.64,,1874,12,1,,,,
1875-01-01,0.65,-0.732,,1875,1,1,,,,
1875-02-01,-0.11,-1.034,,1875,2,1,,,,
1875-03-01,-1.0,-0.89,,1875,3,1,,,,
1875-04-01,1.4,-0.757,,1875,4,1,,,,
1875-05-01,0.75,-0.954,,1875,5,1,,,,
1875-06-01,2.57,-0.78,,1875,6,1,,,,
1875-07-01,-0.49,-0.727,,1875,7,1,,,,
1875-08-01,-0.21,-0.617,,1875,8,1,,,,
1875-09-01,0.83,-0.335,,1875,9,1,,,,
1875-10-01,0.93,-0.152,,1875,10,1,,,,
1875-11-01,-1.54,0.205,,1875,11,1,,,,
1875-12-01,-0.54,-0.287,,1875,12,1,,,,
1876-01-01,1.16,-0.814,,1876,1,1,,,,
1876-02-01,0.98,-0.823,,1876,2,1,,,,
1876-03-01,-0.1,-0.997,,1876,3,1,,,,
1876-04-01,0.94,-1.217,,1876,4,1,,,,
1876-05-01,0.75,-1.114,,1876,5,1,,,,
1876-06-01,1.98,-0.988,,1876,6,1,,,,
1876-07-01,-0.51,-1.348,,1876,7,1,,,,
1876-08-01,1.08,-1.429,,1876,8,1,,,,
1876-09-01,0.98,-1.098,,1876,9,1,,,,
1876-10-01,-1.0,0.211,,1876,10,1,,,,
1876-11-01,-0.46,0.603,,1876,11,1,,,,
1876-12-01,-0.45,0.234,,1876,12,1,,,,
1877-01-01,-0.88,0.19,,1877,1,1,,,,
1877-02-01,-1.44,0.378,,1877,2,1,,,,
1877-03-01,-1.07,0.274,,1877,3,1,,,,
1877-04-01,-3.87,0.062,,1877,4,1,,,,
1877-05-01,-1.71,0.02,,1877,5,1,,,,
1877-06-01,-4.34,0.349,,1877,6,1,,,,
1877-07-01,-0.96,1.449,,1877,7,1,,,,
1877-08-01,-1.06,1.119,,1877,8,1,,,,
1877-09-01,-1.71,1.308,,1877,9,1,,,,
1877-10-01,-1.7,1.035,,1877,10,1,,,,
1877-11-01,-1.31,0.973,,1877,11,1,,,,
1877-12-01,-1.52,0.917,,1877,12,1,,,,
1878-01-01,-0.98,1.149,,1878,1,1,,,,
1878-02-01,-2.22,1.415,,1878,2,1,,,,
1878-03-01,-1.86,1.411,,1878,3,1,,,,
