,MeanWaterVaporDensity(kg/m^3),MedianWaterVaporDensity(kg/m^3),Location,Datetime,Date,Unnamed: 0,SOI,PDO,AO,Year,Month,Day,Hour,PC1,PC2,PC1_2_Amp,MJO_Phase
0,0.001450239,0.00126777,CAPRA,1/25/2025 16:22,1/25/2025,13943,,,,2025,1,25,,1.27893,1.00564,1.62695,6
1,0.002496465,0.002497868,CAPRA,2/3/2026 22:21,2/3/2026,14317,,,,2026,2,3,,-0.35812,-1.00387,1.06584,1
2,0.002630464,0.002548205,CAPRA,2/4/2026 3:00,2/4/2026,14318,,,,2026,2,4,,-0.05081,-0.7824,0.78405,1
5,0.004964945,0.004938742,CAPRA,2/5/2026 3:00,2/5/2026,14319,,,,2026,2,5,,0.26475,-0.54485,0.60576,8
7,0.001506373,0.000850888,CAPRA,2/6/2026 0:00,2/6/2026,14320,,,,2026,2,6,,0.53439,-0.32387,0.62487,7
9,0.001060929,0.000703679,CAPRA,2/7/2026 1:00,2/7/2026,14321,,,,2026,2,7,,0.77445,-0.09346,0.78007,7
11,0.001564273,0.001052117,CAPRA,2/8/2026 0:00,2/8/2026,14322,,,,2026,2,8,,0.96063,0.23109,0.98803,6
14,0.001359016,0.001002153,CAPRA,2/9/2026 18:00,2/9/2026,14323,,,,2026,2,9,,1.13523,0.59276,1.28067,6
15,0.001150776,0.000758208,CAPRA,2/10/2026 2:00,2/10/2026,14324,,,,2026,2,10,,1.29198,0.93038,1.59211,6
17,0.000302009,0.000359653,CAPRA,2/19/2026 3:00,2/19/2026,14333,,,,2026,2,19,,2.079,0.71975,2.20007,6
20,0.00032334,0.000163267,CAPRA,2/20/2026 0:00,2/20/2026,14334,,,,2026,2,20,,1.85618,0.62505,1.95859,6
23,0.000643388,0.00055814,CAPRA,2/21/2026 0:00,2/21/2026,14335,,,,2026,2,21,,1.54676,0.63,1.67013,6
26,0.000589127,0.000772272,CAPRA,2/22/2026 0:00,2/22/2026,14336,,,,2026,2,22,,1.20875,0.71691,1.40536,6
28,0.000862516,0.000749529,CAPRA,2/23/2026 0:00,2/23/2026,14337,,,,2026,2,23,,0.78332,0.79511,1.11615,5
30,0.000301283,0.000146166,CAPRA,2/24/2026 0:00,2/24/2026,14338,,,,2026,2,24,,0.30748,0.7993,0.85641,5
33,0.001244219,0.001133919,CAPRA,2/25/2026 3:00,2/25/2026,14339,,,,2026,2,25,,-0.12531,0.76784,0.778,4
36,16138.15026,0.0010219,CAUBC,1/27/2025 23:17,1/27/2025,13945,,,,2025,1,27,,0.90128,1.24187,1.53445,5
37,-457.2159899,0.001846263,CAUBC,1/8/2026 15:18,1/8/2026,14291,,,,2026,1,8,,-0.63603,0.76692,0.99635,4
38,0.001563791,0.001206956,CAUBC,1/28/2026 2:51,1/28/2026,14311,,,,2026,1,28,,-1.07215,-1.51496,1.85596,1
39,0.002061381,0.001504857,CAUBC,2/3/2026 22:17,2/3/2026,14317,,,,2026,2,3,,-0.35812,-1.00387,1.06584,1
40,0.003547668,0.003162774,CAUBC,2/4/2026 2:58,2/4/2026,14318,,,,2026,2,4,,-0.05081,-0.7824,0.78405,1
42,0.001454893,0.00061675,CAUBC,2/5/2026 2:28,2/5/2026,14319,,,,2026,2,5,,0.26475,-0.54485,0.60576,8
45,0.001377793,0.001009422,CAUBC,2/6/2026 2:05,2/6/2026,14320,,,,2026,2,6,,0.53439,-0.32387,0.62487,7
46,0.00151964,0.000960183,CAUBC,2/13/2026 20:02,2/13/2026,14327,,,,2026,2,13,,1.83638,1.41198,2.31645,6
48,0.001519793,0.000837844,CAUBC,2/14/2026 2:15,2/14/2026,14328,,,,2026,2,14,,1.99745,1.38781,2.43225,6
52,0.001039443,0.000253208,CAUBC,2/15/2026 2:05,2/15/2026,14329,,,,2026,2,15,,2.16909,1.36455,2.56261,6
54,0.001458297,0.001087165,CAUBC,2/16/2026 2:51,2/16/2026,14330,,,,2026,2,16,,2.31519,1.28031,2.64562,6
57,0.001573484,0.000877094,CAUBC,2/17/2026 2:12,2/17/2026,14331,,,,2026,2,17,,2.4122,1.10941,2.65509,6
60,0.001057993,0.000867524,CAUBC,2/20/2026 20:15,2/20/2026,14334,,,,2026,2,20,,1.85618,0.62505,1.95859,6
62,0.001451319,0.001085461,CAUBC,2/21/2026 2:53,2/21/2026,14335,,,,2026,2,21,,1.54676,0.63,1.67013,6
63,0.001310443,0.000906031,CAUBC,3/1/2026 20:33,3/1/2026,14343,,,,2026,3,1,,-1.02355,0.80168,1.30013,3
65,0.001135446,0.000792316,CAUBC,3/2/2026 2:07,3/2/2026,14344,,,,2026,3,2,,-1.12483,0.83412,1.40036,3
66,0.002281999,0.001562463,CAUBC,3/6/2026 20:12,3/6/2026,14348,,,,2026,3,6,,-1.22914,0.61303,1.37353,3
68,0.002959811,0.00273791,CAUBC,3/7/2026 2:20,3/7/2026,14349,,,,2026,3,7,,-1.25618,0.53825,1.36663,3
69,0.001368329,0.001256609,CAUBC,3/13/2026 23:21,3/13/2026,14355,,,,2026,3,13,,-1.49569,-0.7277,1.66332,2
70,0.000546529,8.32E-05,CAWTA,1/22/2026 21:00,1/22/2026,14305,,,,2026,1,22,,-0.61316,-0.79638,1.00508,1
71,0.000396177,6.29E-05,CAWTA,1/23/2026 0:00,1/23/2026,14306,,,,2026,1,23,,-0.60898,-0.92758,1.10962,1
74,1.00E-04,5.91E-06,CAWTA,1/24/2026 0:00,1/24/2026,14307,,,,2026,1,24,,-0.67349,-1.07723,1.27043,1
77,7.03E-05,1.56E-05,CAWTA,1/25/2026 0:00,1/25/2026,14308,,,,2026,1,25,,-0.8257,-1.32243,1.55904,1
80,0.000466749,0.000291508,CAWTA,1/26/2026 0:00,1/26/2026,14309,,,,2026,1,26,,-0.98125,-1.49285,1.78646,1
81,0.000297767,4.56E-06,CAWTA,2/3/2026 21:00,2/3/2026,14317,,,,2026,2,3,,-0.35812,-1.00387,1.06584,1
82,0.00030404,9.76E-06,CAWTA,2/4/2026 0:00,2/4/2026,14318,,,,2026,2,4,,-0.05081,-0.7824,0.78405,1
87,0.000237875,2.12E-05,CAWTA,2/5/2026 0:00,2/5/2026,14319,,,,2026,2,5,,0.26475,-0.54485,0.60576,8
89,0.000186492,5.53E-06,CAWTA,2/13/2026 21:00,2/13/2026,14327,,,,2026,2,13,,1.83638,1.41198,2.31645,6
90,0.00021768,3.07E-06,CAWTA,2/14/2026 0:00,2/14/2026,14328,,,,2026,2,14,,1.99745,1.38781,2.43225,6
